qs_id,name
QS163,Mental health of adults in contact with the criminal justice system
QS164,Parkinson's disease
QS165,Drug misuse prevention
QS166,Trauma
QS167,"Promoting health and preventing premature mortality in black, Asian and other minority ethnic groups"
QS168,Cystic fibrosis
QS169,Developmental follow-up of children and young people born preterm
QS170,Spondyloarthritis
QS171,Medicines management for people receiving social care in the community
QS172,Endometriosis
QS173,Intermediate care including reablement
QS174,Emergency and acute medical care in over 16s
QS175,Eating disorders
QS176,Oesophago-gastric cancer
QS177,Pancreatic cancer
QS178,Sexual health
QS179,Child abuse and neglect
QS180,Serious eye disorders
QS181,Air pollution: outdoor air quality and health
QS182,People’s experience using adult social care services
QS183,Physical activity: encouraging activity in the community
QS184,Dementia
QS185,Hearing loss in adults
QS186,Lyme disease
QS187,Learning disability: care and support of people growing older
QS188,Coexisting severe mental illness and substance misuse
QS189,Suicide prevention
QS190,Flu vaccination: increasing uptake
QS191,Cerebral palsy in adults
QS192,Intrapartum care: existing medical conditions and obstetric complications
QS193,Specialist neonatal respiratory care for babies born preterm
QS194,Decision making and mental capacity
QS195,Renal and ureteric stones
QS196,Community pharmacies: promoting health and wellbeing
QS197,Faltering growth
QS198,Suspected neurological conditions: recognition and referral
QS199,Abortion care
QS200,Supporting adult carers
QS201,Venous thromboembolism in adults
QS202,Workplace health: long-term sickness absence and capability to work
QS203,Brain tumours (primary) and brain metastases in over 16s
